Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Disease,Critical
Difficulties in stooling,Fever,Muscle Aches,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Tired,Swollen genitals,Rashes,NIL,Typhoid,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Rashes,Confusion,Diabetes,Critical
Frequent Urination,Fever,Muscle Aches,NIL,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Fever,Blurred Vision,Rashes,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Frequent Infection,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Tired,Frequent Infection,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Hunger,Swollen genitals,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Fever,Frequent Infection,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Muscle Aches,NIL,NIL,Diabetes,Not Critical
Painful Urination,Fever,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Tired,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Urge to urinate,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Tired,Muscle Aches,NIL,Slow heart rate and pulse,Typhoid,Critical
Painful Urination,Fever,Abdominal Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Headache,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Hunger,Muscle Aches,NIL,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Fever,Muscle Aches,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Fever,Blurred Vision,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Tired,Anal Itching and Pain,Bloody diarrhea,NIL,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Blurred Vision,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Hunger,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Fever,Muscle Aches,Rose spots,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,Seizures,Gonorrhea,Critical
Frequent Urination,Tired,Blurred Vision,NIL,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Tired,Abdominal Pain,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Fever,Muscle Aches,Rashes,NIL,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Abdominal Pain,NIL,Seizures,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Fever,Headache,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Tired,Frequent Infection,Rose spots,Confusion,Typhoid,Critical
Painful Urination,Fever,Blurred Vision,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Abdominal Pain,NIL,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Fever,Abdominal Pain,Swollen testicles,NIL,Typhoid,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Frequent Urination,Hunger,Abdominal Pain,Rose spots,NIL,Diabetes,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Rashes,NIL,Diabetes,Critical
Painful Urination,Tired,Frequent Infection,Swollen testicles,NIL,Typhoid,Critical
Frequent Urination,Hunger,Muscle Aches,Rashes,Seizures,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Fever,Anal Itching and Pain,Swollen testicles,NIL,Diabetes,Critical
Painful Urination,Tired,Muscle Aches,Swollen testicles,Disorientation,Typhoid,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Rose spots,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Fever,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Rashes,NIL,Gonorrhea,Critical
Painful Urination,Tired,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Tired,Blurred Vision,NIL,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Swollen genitals,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Blurred Vision,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Blurred Vision,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,NIL,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Swollen testicles,NIL,Gonorrhea,Critical
"Yellow,green discharge",Fever,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Fever,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Blurred Vision,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Tired,Muscle Aches,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Urge to urinate,Swollen genitals,NIL,Seizures,Diabetes,Critical
Difficulties in stooling,Tired,Blurred Vision,NIL,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Tired,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,Seizures,Gonorrhea,Critical
Painful Urination,Hunger,Swollen genitals,NIL,Seizures,Typhoid,Critical
Frequent Urination,Hunger,Abdominal Pain,Rashes,NIL,Diabetes,Critical
Difficulties in stooling,Tired,Muscle Aches,Bloody diarrhea,Confusion,Typhoid,Critical
Painful Urination,Fever,Headache,Bloody diarrhea,Confusion,Typhoid,Critical
Difficulties in stooling,Tired,Muscle Aches,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Urge to urinate,Headache,NIL,NIL,Diabetes,Not Critical
Painful Urination,Fever,Abdominal Pain,Rashes,NIL,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,Disorientation,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Headache,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Frequent Infection,NIL,NIL,Typhoid,Not Critical
Painful Urination,Hunger,Blurred Vision,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Swollen genitals,Rose spots,NIL,Diabetes,Critical
Difficulties in stooling,Fever,Frequent Infection,Rashes,NIL,Typhoid,Critical
Frequent Urination,Fever,Blurred Vision,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Urge to urinate,Frequent Infection,NIL,Seizures,Diabetes,Critical
Frequent Urination,Tired,Headache,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Hunger,Blurred Vision,NIL,Disorientation,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,Seizures,Gonorrhea,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Fever,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Hunger,Anal Itching and Pain,Rashes,Disorientation,Typhoid,Critical
Painful Urination,Fever,Muscle Aches,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Swollen testicles,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Tired,Frequent Infection,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Fever,Headache,Swollen testicles,NIL,Typhoid,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Rose spots,NIL,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Headache,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Fever,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
Painful Urination,Tired,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Hunger,Swollen genitals,Rashes,NIL,Diabetes,Critical
Painful Urination,Fever,Headache,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Tired,Headache,Bloody diarrhea,NIL,Diabetes,Critical
"Yellow,green discharge",Tired,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Tired,Blurred Vision,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Headache,Rashes,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Hunger,Muscle Aches,NIL,Disorientation,Diabetes,Critical
"Yellow,green discharge",Fever,Abdominal Pain,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Blurred Vision,NIL,Confusion,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Headache,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Swollen testicles,NIL,Typhoid,Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Urge to urinate,Headache,Bloody diarrhea,Confusion,Gonorrhea,Critical
Frequent Urination,Hunger,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Tired,Blurred Vision,Bloody diarrhea,Confusion,Diabetes,Critical
Painful Urination,Fever,Frequent Infection,Rashes,NIL,Typhoid,Critical
Painful Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Frequent Urination,Tired,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
Painful Urination,Urge to urinate,Blurred Vision,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Fever,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,NIL,NIL,Typhoid,Not Critical
Painful Urination,Fever,Frequent Infection,NIL,Seizures,Typhoid,Critical
Painful Urination,Hunger,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Tired,Anal Itching and Pain,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Fever,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Tired,Abdominal Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Tired,Blurred Vision,Bloody diarrhea,NIL,Typhoid,Critical
"Yellow,green discharge",Hunger,Swollen genitals,Rashes,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Abdominal Pain,NIL,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Hunger,Muscle Aches,Bloody diarrhea,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Fever,Anal Itching and Pain,Swollen testicles,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rashes,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Fever,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Tired,Frequent Infection,Bloody diarrhea,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Rashes,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Frequent Urination,Urge to urinate,Muscle Aches,NIL,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Fever,Muscle Aches,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Hunger,Swollen genitals,Rose spots,Disorientation,Typhoid,Critical
Painful Urination,Tired,Muscle Aches,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Swollen testicles,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Tired,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Rose spots,NIL,Gonorrhea,Critical
Painful Urination,Hunger,Blurred Vision,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Tired,Swollen genitals,Swollen testicles,NIL,Diabetes,Critical
Frequent Urination,Tired,Headache,NIL,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Tired,Blurred Vision,NIL,Confusion,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Tired,Frequent Infection,NIL,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Urge to urinate,Headache,Rose spots,Confusion,Diabetes,Critical
Difficulties in stooling,Fever,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Fever,Swollen genitals,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Fever,Muscle Aches,Swollen testicles,Confusion,Typhoid,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Swollen testicles,Seizures,Typhoid,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Hunger,Muscle Aches,Rose spots,NIL,Diabetes,Critical
"Yellow,green discharge",Hunger,Swollen genitals,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Hunger,Frequent Infection,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Fever,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Tired,Muscle Aches,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Hunger,Frequent Infection,Swollen testicles,Disorientation,Typhoid,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,NIL,Gonorrhea,Not Critical
"Yellow,green discharge",Fever,Headache,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Confusion,Gonorrhea,Critical
Painful Urination,Hunger,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Urge to urinate,Headache,NIL,Seizures,Diabetes,Critical
Frequent Urination,Fever,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
Painful Urination,Urge to urinate,Frequent Infection,Swollen testicles,NIL,Gonorrhea,Critical
Difficulties in stooling,Tired,Abdominal Pain,Swollen testicles,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Tired,Muscle Aches,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Rashes,NIL,Typhoid,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Bloody diarrhea,NIL,Typhoid,Critical
Difficulties in stooling,Fever,Muscle Aches,NIL,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Tired,Headache,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Tired,Headache,Swollen testicles,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Fever,Muscle Aches,Rashes,Confusion,Diabetes,Critical
"Yellow,green discharge",Hunger,Frequent Infection,NIL,Confusion,Typhoid,Critical
Frequent Urination,Tired,Muscle Aches,Bloody diarrhea,NIL,Diabetes,Critical
Frequent Urination,Hunger,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Hunger,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Tired,Frequent Infection,Rose spots,NIL,Diabetes,Critical
Frequent Urination,Fever,Blurred Vision,Bloody diarrhea,NIL,Diabetes,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,Seizures,Diabetes,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,Seizures,Typhoid,Critical
Painful Urination,Tired,Abdominal Pain,Swollen testicles,Confusion,Typhoid,Critical
Difficulties in stooling,Fever,Muscle Aches,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Disorientation,Diabetes,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Hunger,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Hunger,Swollen genitals,NIL,Seizures,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,Confusion,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,NIL,Confusion,Gonorrhea,Critical
Frequent Urination,Tired,Blurred Vision,Swollen testicles,NIL,Diabetes,Critical
"Yellow,green discharge",Tired,Swollen genitals,Rose spots,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Headache,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Fever,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Fever,Anal Itching and Pain,Rose spots,Disorientation,Typhoid,Critical
Painful Urination,Tired,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Tired,Anal Itching and Pain,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Urge to urinate,Muscle Aches,NIL,Disorientation,Gonorrhea,Critical
Frequent Urination,Fever,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Frequent Urination,Hunger,Headache,NIL,Severe pelvic pain,Diabetes,Critical
Painful Urination,Urge to urinate,Muscle Aches,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Tired,Blurred Vision,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Tired,Abdominal Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Hunger,Headache,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Tired,Anal Itching and Pain,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Fever,Anal Itching and Pain,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Urge to urinate,Swollen genitals,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Hunger,Muscle Aches,NIL,Confusion,Diabetes,Critical
"Yellow,green discharge",Tired,Blurred Vision,NIL,Confusion,Typhoid,Critical
Painful Urination,Tired,Muscle Aches,Swollen testicles,NIL,Typhoid,Critical
Frequent Urination,Hunger,Headache,NIL,Confusion,Diabetes,Critical
Frequent Urination,Fever,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Fever,Frequent Infection,NIL,NIL,Typhoid,Not Critical
Painful Urination,Urge to urinate,Swollen genitals,Rashes,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Fever,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Rose spots,Disorientation,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Rose spots,NIL,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Bloody diarrhea,Seizures,Typhoid,Critical
Difficulties in stooling,Tired,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Headache,Bloody diarrhea,Seizures,Diabetes,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Hunger,Anal Itching and Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Muscle Aches,NIL,Confusion,Typhoid,Critical
Frequent Urination,Urge to urinate,Frequent Infection,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Urge to urinate,Headache,Rose spots,Seizures,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Hunger,Headache,Rose spots,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Tired,Blurred Vision,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,Confusion,Typhoid,Critical
Difficulties in stooling,Tired,Muscle Aches,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Hunger,Frequent Infection,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,Swollen testicles,NIL,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Swollen genitals,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Hunger,Blurred Vision,Excessive Urination and Thirst,NIL,Diabetes,Critical
Frequent Urination,Hunger,Headache,Rose spots,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Headache,NIL,Slow heart rate and pulse,Gonorrhea,Critical
Difficulties in stooling,Tired,Blurred Vision,Rose spots,NIL,Typhoid,Critical
Frequent Urination,Hunger,Frequent Infection,NIL,Severe pelvic pain,Diabetes,Critical
Painful Urination,Tired,Swollen genitals,NIL,Disorientation,Typhoid,Critical
Difficulties in stooling,Hunger,Headache,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Hunger,Headache,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Headache,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Gonorrhea,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,Disorientation,Typhoid,Critical
Difficulties in stooling,Hunger,Swollen genitals,NIL,Slow heart rate and pulse,Typhoid,Critical
